,Gender,Gap,10_Result,12_Result,Sem1,Sem2,Sem3,Sem4,Sem5,Caste,admission_category
1481,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,Reserved,General / CAP Based
1482,Female,0,4,4,1.0,2.0,2.0,2.0,3.0,General,General / CAP Based
1483,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1485,Male,0,3,3,2.0,3.0,3.0,2.0,3.0,Minority,General / CAP Based
1486,Male,0,4,4,2.0,2.0,2.0,1.0,2.0,General,General / CAP Based
1487,Male,0,4,4,3.0,4.0,3.0,4.0,3.0,Minority,General / CAP Based
1488,Male,0,4,4,2.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1489,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1490,Male,0,4,4,1.0,2.0,3.0,3.0,3.0,General,General / CAP Based
1491,Female,0,4,4,2.0,3.0,1.0,2.0,2.0,Minority,General / CAP Based
1492,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1493,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1494,Male,0,4,4,3.0,3.0,4.0,3.0,4.0,General,General / CAP Based
1495,Male,0,4,4,4.0,4.0,3.0,4.0,3.0,Minority,General / CAP Based
1497,Male,0,4,4,1.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1498,Female,0,4,4,4.0,3.0,4.0,4.0,4.0,Minority,General / CAP Based
1499,Male,0,4,4,1.0,2.0,1.0,1.0,3.0,Minority,General / CAP Based
1500,Female,0,4,4,2.0,4.0,2.0,2.0,3.0,Reserved,General / CAP Based
1503,Female,0,4,4,2.0,3.0,2.0,3.0,3.0,Minority,General / CAP Based
1504,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1505,Female,0,4,4,2.0,2.0,2.0,2.0,4.0,General,General / CAP Based
1506,Male,0,4,4,2.0,3.0,2.0,2.0,3.0,Minority,General / CAP Based
1507,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,Minority,General / CAP Based
1508,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,Minority,General / CAP Based
1510,Female,0,4,4,2.0,3.0,4.0,4.0,4.0,Minority,General / CAP Based
1511,Male,0,4,4,2.0,1.0,1.0,2.0,2.0,General,General / CAP Based
1512,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,Minority,General / CAP Based
1513,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,Minority,General / CAP Based
1516,Male,0,4,4,1.0,2.0,1.0,2.0,3.0,General,General / CAP Based
1517,Male,0,4,4,2.0,2.0,1.0,1.0,1.0,Minority,General / CAP Based
1518,Male,0,4,4,2.0,2.0,3.0,3.0,2.0,General,General / CAP Based
1519,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,Minority,General / CAP Based
1520,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,General,General / CAP Based
1521,Male,0,3,3,1.0,1.0,2.0,2.0,1.0,Reserved,General / CAP Based
1524,Male,0,3,3,3.0,2.0,2.0,3.0,3.0,General,General / CAP Based
1525,Male,0,3,3,2.0,3.0,2.0,2.0,3.0,Minority,General / CAP Based
1526,Male,0,4,4,2.0,2.0,2.0,2.0,2.0,Minority,General / CAP Based
1527,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1528,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1529,Female,0,4,4,2.0,2.0,2.0,3.0,3.0,Minority,General / CAP Based
1530,Male,0,4,4,4.0,4.0,3.0,3.0,3.0,Minority,General / CAP Based
1531,Female,0,4,4,4.0,4.0,2.0,4.0,4.0,General,General / CAP Based
1532,Female,0,4,4,3.0,3.0,3.0,4.0,4.0,Minority,General / CAP Based
1534,Female,0,4,4,3.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1535,Male,0,4,4,1.0,2.0,2.0,2.0,3.0,General,General / CAP Based
1536,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,General,General / CAP Based
1538,Male,0,4,4,2.0,2.0,2.0,3.0,3.0,General,General / CAP Based
1539,Female,0,4,4,2.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1540,Male,0,4,4,1.0,2.0,2.0,3.0,4.0,General,General / CAP Based
1541,Female,0,4,4,2.0,2.0,2.0,3.0,4.0,Minority,General / CAP Based
1542,Male,0,4,4,2.0,2.0,2.0,4.0,3.0,General,General / CAP Based
1543,Female,0,4,4,2.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1544,Male,0,4,4,2.0,2.0,1.0,2.0,3.0,Minority,General / CAP Based
1545,Male,0,4,4,1.0,1.0,1.0,1.0,1.0,General,General / CAP Based
1546,Male,0,4,4,2.0,1.0,1.0,2.0,3.0,General,General / CAP Based
1547,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1548,Female,0,3,3,2.0,2.0,2.0,3.0,3.0,General,General / CAP Based
1549,Male,0,4,4,1.0,2.0,2.0,3.0,3.0,Minority,General / CAP Based
1550,Male,0,4,4,1.0,2.0,2.0,4.0,4.0,Minority,General / CAP Based
1551,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1553,Female,0,4,4,2.0,2.0,2.0,3.0,2.0,Minority,General / CAP Based
1554,Female,0,4,4,3.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1555,Male,0,4,4,2.0,3.0,1.0,2.0,3.0,General,General / CAP Based
1556,Male,0,4,4,3.0,2.0,2.0,3.0,2.0,General,General / CAP Based
1559,Male,0,4,4,2.0,3.0,2.0,2.0,3.0,Minority,General / CAP Based
1560,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1561,Male,0,4,4,4.0,3.0,3.0,4.0,4.0,General,General / CAP Based
1562,Male,0,4,4,2.0,2.0,1.0,3.0,2.0,General,General / CAP Based
1564,Male,0,4,4,2.0,3.0,2.0,3.0,4.0,General,General / CAP Based
1565,Male,0,4,4,1.0,2.0,1.0,2.0,2.0,General,General / CAP Based
1566,Male,0,3,3,1.0,1.0,2.0,3.0,4.0,General,General / CAP Based
1567,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,Minority,General / CAP Based
1568,Male,0,4,4,1.0,2.0,1.0,3.0,3.0,General,General / CAP Based
1569,Male,0,4,4,2.0,2.0,1.0,1.0,2.0,Reserved,General / CAP Based
1570,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1571,Male,0,4,4,3.0,3.0,2.0,4.0,4.0,General,General / CAP Based
1572,Male,0,4,4,2.0,2.0,2.0,3.0,2.0,Minority,General / CAP Based
1573,Male,0,3,3,1.0,1.0,1.0,2.0,2.0,Minority,General / CAP Based
1575,Female,0,4,4,2.0,2.0,3.0,4.0,4.0,Minority,General / CAP Based
1576,Female,0,4,4,2.0,3.0,2.0,3.0,2.0,Minority,General / CAP Based
1577,Male,0,4,4,1.0,2.0,1.0,2.0,2.0,General,General / CAP Based
1578,Male,0,4,4,1.0,1.0,1.0,1.0,2.0,General,General / CAP Based
1579,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1580,Male,0,4,4,3.0,2.0,3.0,3.0,4.0,General,General / CAP Based
1581,Male,0,4,4,1.0,1.0,1.0,1.0,2.0,General,General / CAP Based
1582,Male,0,4,4,1.0,1.0,1.0,2.0,2.0,Minority,General / CAP Based
1587,Male,0,3,3,2.0,2.0,3.0,3.0,3.0,General,General / CAP Based
1588,Male,0,4,4,1.0,1.0,1.0,3.0,3.0,General,General / CAP Based
1589,Male,0,4,4,2.0,1.0,1.0,1.0,1.0,Minority,General / CAP Based
1591,Male,0,4,4,3.0,3.0,4.0,3.0,4.0,General,General / CAP Based
1593,Female,0,4,4,2.0,3.0,1.0,3.0,3.0,General,General / CAP Based
1594,Male,0,4,4,2.0,3.0,3.0,2.0,4.0,General,General / CAP Based
1595,Female,0,3,3,1.0,1.0,1.0,2.0,3.0,General,General / CAP Based
1596,Female,0,4,4,1.0,2.0,1.0,1.0,1.0,Minority,General / CAP Based
1597,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1598,Male,0,4,4,3.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1599,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1600,Male,0,3,3,1.0,1.0,1.0,1.0,2.0,General,General / CAP Based
1601,Female,0,4,4,4.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1602,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1603,Male,0,4,4,1.0,2.0,2.0,1.0,1.0,Minority,General / CAP Based
1604,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1606,Male,0,4,4,1.0,2.0,2.0,1.0,2.0,Reserved,General / CAP Based
1607,Male,0,4,4,3.0,4.0,3.0,3.0,3.0,General,General / CAP Based
1608,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1609,Male,0,4,4,1.0,3.0,2.0,2.0,2.0,General,General / CAP Based
1610,Male,0,4,4,1.0,1.0,2.0,2.0,2.0,Minority,General / CAP Based
1611,Male,0,4,4,2.0,2.0,3.0,2.0,3.0,General,General / CAP Based
1612,Male,0,4,4,1.0,2.0,1.0,1.0,2.0,General,General / CAP Based
1614,Male,0,4,4,2.0,3.0,2.0,2.0,4.0,General,General / CAP Based
1615,Female,0,4,4,3.0,3.0,3.0,3.0,3.0,Reserved,General / CAP Based
1616,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1618,Male,0,4,4,2.0,2.0,2.0,3.0,3.0,General,General / CAP Based
1619,Female,0,4,4,2.0,3.0,3.0,4.0,4.0,General,General / CAP Based
1623,Male,0,4,4,4.0,4.0,2.0,4.0,4.0,General,General / CAP Based
1624,Male,0,4,4,2.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1625,Female,0,4,4,3.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1626,Female,0,4,4,1.0,2.0,2.0,1.0,2.0,Minority,General / CAP Based
1628,Male,0,4,4,1.0,1.0,1.0,1.0,1.0,General,General / CAP Based
1630,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1632,Male,0,4,4,1.0,2.0,1.0,3.0,3.0,General,General / CAP Based
1633,Male,0,4,4,2.0,3.0,1.0,3.0,2.0,General,General / CAP Based
1634,Male,0,4,4,4.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1635,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1638,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1639,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1640,Male,0,4,4,2.0,3.0,2.0,2.0,3.0,General,General / CAP Based
1641,Male,0,4,4,3.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1642,Male,0,4,4,1.0,2.0,2.0,1.0,1.0,General,General / CAP Based
1643,Female,0,3,3,1.0,1.0,1.0,1.0,2.0,Minority,General / CAP Based
1644,Male,0,4,4,1.0,2.0,2.0,3.0,2.0,Minority,General / CAP Based
1645,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,Minority,General / CAP Based
1646,Male,0,4,4,3.0,2.0,3.0,3.0,4.0,General,General / CAP Based
1649,Female,0,4,4,1.0,2.0,1.0,2.0,2.0,General,General / CAP Based
1652,Female,0,4,4,1.0,2.0,2.0,2.0,3.0,Minority,General / CAP Based
1654,Male,0,4,4,1.0,2.0,1.0,2.0,3.0,General,General / CAP Based
1657,Male,0,4,4,1.0,2.0,1.0,1.0,2.0,General,General / CAP Based
1659,Male,0,4,4,2.0,2.0,3.0,3.0,3.0,General,General / CAP Based
1660,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1661,Female,0,4,4,3.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1663,Male,0,4,4,1.0,1.0,1.0,1.0,1.0,General,General / CAP Based
1665,Male,0,4,4,1.0,1.0,1.0,1.0,1.0,Minority,General / CAP Based
1666,Male,0,4,4,1.0,1.0,2.0,2.0,3.0,General,General / CAP Based
1667,Male,0,4,4,1.0,1.0,1.0,1.0,1.0,Reserved,General / CAP Based
1668,Female,0,4,4,2.0,3.0,1.0,3.0,3.0,General,General / CAP Based
1669,Female,0,4,4,2.0,3.0,2.0,2.0,3.0,General,General / CAP Based
1670,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1671,Female,0,4,4,2.0,3.0,2.0,2.0,3.0,General,General / CAP Based
1672,Female,0,4,4,2.0,2.0,2.0,2.0,3.0,General,General / CAP Based
1673,Male,0,3,3,1.0,2.0,1.0,2.0,2.0,General,General / CAP Based
1675,Female,0,4,4,4.0,4.0,4.0,4.0,3.0,General,General / CAP Based
1676,Male,0,4,4,3.0,2.0,3.0,3.0,4.0,General,General / CAP Based
1677,Male,0,4,4,1.0,2.0,1.0,1.0,1.0,General,General / CAP Based
1678,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1679,Male,0,4,4,3.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1680,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,Reserved,General / CAP Based
1682,Female,0,4,4,3.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1683,Male,0,4,4,2.0,3.0,2.0,2.0,3.0,General,General / CAP Based
1684,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1686,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1688,Male,0,4,4,1.0,3.0,2.0,2.0,2.0,General,General / CAP Based
1689,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1690,Male,0,4,4,1.0,2.0,1.0,1.0,2.0,Minority,General / CAP Based
1691,Female,0,1,1,2.0,2.0,3.0,3.0,4.0,Reserved,General / CAP Based
1692,Male,0,2,2,1.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1693,Male,0,4,4,4.0,4.0,4.0,3.0,3.0,General,General / CAP Based
1694,Male,0,4,4,2.0,3.0,2.0,1.0,1.0,General,General / CAP Based
1695,Male,0,4,4,3.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1697,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1698,Female,0,4,4,2.0,3.0,2.0,2.0,2.0,General,General / CAP Based
1700,Male,0,3,3,1.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1701,Male,0,4,4,3.0,3.0,2.0,2.0,3.0,General,General / CAP Based
1702,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1703,Male,0,4,4,2.0,2.0,2.0,3.0,2.0,Reserved,General / CAP Based
1704,Male,0,4,4,4.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1705,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1706,Female,0,4,4,1.0,2.0,1.0,1.0,2.0,General,General / CAP Based
1707,Male,0,4,4,2.0,1.0,1.0,2.0,2.0,Reserved,General / CAP Based
1708,Female,0,4,4,3.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1710,Male,0,4,4,3.0,3.0,2.0,1.0,3.0,General,General / CAP Based
1711,Male,0,4,4,4.0,4.0,3.0,3.0,3.0,General,General / CAP Based
1716,Female,0,4,4,1.0,2.0,2.0,2.0,3.0,Minority,General / CAP Based
1717,Female,0,4,4,2.0,3.0,3.0,4.0,4.0,General,General / CAP Based
1718,Male,0,4,4,4.0,3.0,3.0,2.0,3.0,General,General / CAP Based
1719,Female,0,3,3,3.0,3.0,1.0,2.0,2.0,Reserved,General / CAP Based
1720,Female,0,4,4,3.0,3.0,3.0,4.0,4.0,General,General / CAP Based
1721,Male,0,3,3,1.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1722,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1725,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1726,Male,0,4,4,1.0,1.0,1.0,2.0,2.0,General,General / CAP Based
1728,Female,0,4,4,3.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1732,Female,0,4,4,1.0,1.0,1.0,1.0,2.0,General,General / CAP Based
1734,Male,0,3,3,1.0,1.0,1.0,1.0,2.0,General,General / CAP Based
1735,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1736,Male,0,4,4,1.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1737,Female,0,4,4,4.0,4.0,4.0,3.0,4.0,Reserved,General / CAP Based
1739,Male,0,4,4,1.0,1.0,1.0,1.0,1.0,Minority,General / CAP Based
1742,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1743,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1744,Male,0,4,4,3.0,3.0,3.0,2.0,2.0,General,General / CAP Based
1745,Female,0,4,4,1.0,2.0,2.0,4.0,4.0,Minority,General / CAP Based
1746,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1747,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1748,Male,0,4,4,4.0,4.0,4.0,3.0,4.0,Minority,General / CAP Based
1749,Female,0,4,4,1.0,2.0,2.0,1.0,2.0,General,General / CAP Based
1750,Female,0,4,4,1.0,2.0,2.0,1.0,2.0,General,General / CAP Based
1751,Female,0,4,4,2.0,3.0,3.0,2.0,3.0,Minority,General / CAP Based
1753,Male,0,4,4,2.0,2.0,1.0,2.0,2.0,General,General / CAP Based
1754,Male,0,4,4,2.0,3.0,2.0,2.0,2.0,General,General / CAP Based
1756,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,General,General / CAP Based
1757,Male,0,4,4,3.0,2.0,2.0,2.0,3.0,General,General / CAP Based
1761,Female,0,4,4,4.0,4.0,3.0,2.0,3.0,General,General / CAP Based
1762,Female,0,4,4,2.0,3.0,3.0,4.0,4.0,Minority,General / CAP Based
1764,Male,0,4,4,2.0,2.0,3.0,3.0,2.0,General,General / CAP Based
1766,Male,0,4,4,3.0,3.0,4.0,3.0,3.0,General,General / CAP Based
1767,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1768,Female,0,4,4,1.0,2.0,1.0,1.0,2.0,Minority,General / CAP Based
1771,Male,0,4,4,2.0,3.0,4.0,4.0,3.0,General,General / CAP Based
1772,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1774,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1777,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,Minority,General / CAP Based
1778,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1779,Male,0,3,3,1.0,1.0,2.0,1.0,2.0,Reserved,General / CAP Based
1780,Male,0,4,4,4.0,4.0,3.0,3.0,4.0,General,General / CAP Based
1781,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1782,Male,0,4,4,1.0,2.0,2.0,3.0,3.0,General,General / CAP Based
1786,Male,0,3,3,2.0,2.0,2.0,1.0,1.0,Minority,General / CAP Based
1788,Female,0,4,4,3.0,3.0,3.0,2.0,2.0,General,General / CAP Based
1789,Female,0,4,4,1.0,2.0,3.0,3.0,4.0,General,General / CAP Based
1791,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1792,Male,0,4,4,3.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1793,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1794,Male,0,4,4,2.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1796,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1798,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,Minority,General / CAP Based
1799,Male,0,4,4,2.0,3.0,2.0,2.0,2.0,General,General / CAP Based
1800,Female,0,4,4,2.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1801,Female,0,3,3,2.0,2.0,3.0,3.0,4.0,General,General / CAP Based
1802,Female,0,4,4,4.0,4.0,4.0,3.0,3.0,General,General / CAP Based
1803,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1805,Male,0,4,4,1.0,2.0,2.0,1.0,1.0,General,General / CAP Based
1806,Female,0,4,4,2.0,2.0,3.0,3.0,4.0,Reserved,General / CAP Based
1807,Female,0,4,4,1.0,2.0,2.0,2.0,2.0,Minority,General / CAP Based
1808,Female,0,4,4,1.0,2.0,2.0,1.0,1.0,General,General / CAP Based
1809,Male,0,4,4,2.0,1.0,3.0,3.0,2.0,General,General / CAP Based
1810,Male,0,4,4,4.0,4.0,4.0,4.0,3.0,General,General / CAP Based
1811,Male,0,4,4,4.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1812,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1813,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1815,Male,0,4,4,3.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1816,Male,0,4,4,4.0,4.0,4.0,4.0,3.0,General,General / CAP Based
1817,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1818,Male,0,4,4,2.0,2.0,2.0,3.0,1.0,General,General / CAP Based
1819,Female,0,4,4,2.0,2.0,1.0,2.0,2.0,Minority,General / CAP Based
1821,Male,0,4,4,3.0,3.0,3.0,4.0,3.0,Minority,General / CAP Based
1822,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1823,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1824,Male,0,4,4,4.0,4.0,3.0,4.0,3.0,General,General / CAP Based
1827,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1828,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1829,Female,0,4,4,4.0,4.0,3.0,2.0,2.0,General,General / CAP Based
1830,Male,0,4,4,4.0,3.0,3.0,3.0,2.0,General,General / CAP Based
1831,Female,0,4,4,2.0,2.0,3.0,3.0,3.0,Minority,General / CAP Based
1833,Male,0,4,4,3.0,3.0,3.0,2.0,2.0,Minority,General / CAP Based
1834,Male,0,4,4,1.0,1.0,2.0,2.0,3.0,Minority,General / CAP Based
1835,Male,0,4,4,4.0,4.0,3.0,3.0,2.0,General,General / CAP Based
1837,Male,0,4,4,4.0,4.0,4.0,3.0,3.0,General,General / CAP Based
1838,Male,0,4,4,2.0,2.0,2.0,2.0,2.0,Minority,General / CAP Based
1839,Female,0,4,4,2.0,2.0,1.0,3.0,2.0,Reserved,General / CAP Based
1843,Female,0,4,4,3.0,3.0,3.0,3.0,4.0,General,General / CAP Based
1844,Male,0,3,3,1.0,2.0,1.0,2.0,2.0,General,General / CAP Based
1845,Male,0,4,4,4.0,4.0,3.0,4.0,3.0,General,General / CAP Based
1846,Female,0,4,4,3.0,4.0,3.0,4.0,4.0,General,General / CAP Based
1847,Male,0,4,4,2.0,2.0,2.0,2.0,2.0,Minority,General / CAP Based
1848,Male,0,4,4,1.0,1.0,1.0,2.0,1.0,General,General / CAP Based
1849,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,Reserved,General / CAP Based
1850,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1852,Male,0,4,4,4.0,4.0,4.0,4.0,3.0,General,General / CAP Based
1853,Female,0,4,4,2.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1854,Male,0,4,4,3.0,3.0,3.0,3.0,2.0,General,General / CAP Based
1855,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,Minority,General / CAP Based
1856,Female,0,4,4,3.0,4.0,3.0,3.0,3.0,General,General / CAP Based
1857,Male,0,4,4,3.0,3.0,4.0,4.0,3.0,General,General / CAP Based
1858,Female,0,4,4,3.0,3.0,3.0,2.0,1.0,Minority,General / CAP Based
1860,Female,0,4,4,2.0,3.0,3.0,3.0,3.0,General,General / CAP Based
1861,Female,0,4,4,2.0,3.0,3.0,3.0,3.0,Reserved,General / CAP Based
1862,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1863,Male,0,4,4,2.0,3.0,2.0,4.0,2.0,General,General / CAP Based
1865,Male,0,4,4,2.0,1.0,2.0,2.0,3.0,General,General / CAP Based
1866,Female,0,4,4,1.0,1.0,1.0,2.0,2.0,General,General / CAP Based
1867,Male,0,4,4,4.0,4.0,4.0,4.0,3.0,General,General / CAP Based
1868,Female,0,4,4,1.0,2.0,1.0,1.0,2.0,Reserved,General / CAP Based
1869,Female,0,4,4,1.0,1.0,1.0,2.0,3.0,Minority,General / CAP Based
1870,Female,0,4,4,1.0,1.0,1.0,1.0,1.0,Minority,General / CAP Based
1871,Male,0,3,3,2.0,2.0,3.0,3.0,2.0,General,General / CAP Based
1872,Male,0,4,4,2.0,2.0,2.0,2.0,2.0,Minority,General / CAP Based
1873,Male,0,3,3,1.0,2.0,2.0,2.0,2.0,General,General / CAP Based
1874,Male,0,4,4,3.0,2.0,2.0,3.0,2.0,General,General / CAP Based
1875,Male,0,4,4,1.0,1.0,2.0,1.0,2.0,General,General / CAP Based
1876,Male,0,4,4,4.0,4.0,4.0,3.0,4.0,General,General / CAP Based
1877,Male,0,4,4,2.0,2.0,3.0,3.0,3.0,Minority,General / CAP Based
1878,Male,0,4,4,2.0,2.0,3.0,1.0,2.0,General,General / CAP Based
1879,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1880,Female,0,4,4,3.0,3.0,3.0,4.0,4.0,General,General / CAP Based
1881,Male,0,4,4,3.0,3.0,3.0,2.0,1.0,General,General / CAP Based
1939,Male,0,4,4,2.0,3.0,3.0,2.0,3.0,General,General / CAP Based
1941,Male,0,4,4,2.0,3.0,2.0,2.0,3.0,Minority,General / CAP Based
1942,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1943,Male,0,4,4,3.0,2.0,2.0,3.0,2.0,General,General / CAP Based
1944,Female,0,4,4,4.0,4.0,2.0,4.0,4.0,General,General / CAP Based
1945,Male,0,4,4,2.0,2.0,2.0,4.0,4.0,Minority,General / CAP Based
1946,Male,0,4,4,4.0,4.0,4.0,4.0,3.0,General,General / CAP Based
1947,Female,0,4,4,2.0,3.0,4.0,4.0,4.0,General,General / CAP Based
1948,Male,0,4,4,1.0,1.0,1.0,1.0,2.0,Minority,General / CAP Based
1950,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1951,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1952,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1953,Male,0,4,4,2.0,2.0,2.0,3.0,3.0,Minority,General / CAP Based
1955,Female,0,4,4,4.0,3.0,3.0,4.0,4.0,General,General / CAP Based
1957,Female,0,3,3,2.0,2.0,1.0,1.0,1.0,General,General / CAP Based
1961,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,General,General / CAP Based
1962,Male,0,4,4,1.0,1.0,2.0,1.0,2.0,Minority,General / CAP Based
1963,Male,0,4,4,2.0,2.0,2.0,3.0,4.0,General,General / CAP Based
1964,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,General,General / CAP Based
1965,Male,0,4,4,3.0,3.0,3.0,3.0,1.0,Minority,General / CAP Based
1966,Female,0,3,3,1.0,1.0,1.0,2.0,3.0,Minority,General / CAP Based
1967,Female,0,4,4,1.0,2.0,2.0,3.0,3.0,General,General / CAP Based
