,Division,Gender,Gap,10_Result,12_Result,Sem1,Sem2,Sem3,Sem4,Sem5,Caste,admission_category
395,1280,1280,0.0,3.0,3.0,5.0,4.0,5.0,6.0,7.0,1280,1280
396,1281,1281,0.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,1281,1281
397,1282,1282,0.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,1282,1282
398,1283,1283,0.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,1283,1283
399,1284,1284,0.0,4.0,4.0,7.0,6.0,7.0,7.0,7.0,1284,1284
400,1285,1285,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1285,1285
401,1286,1286,0.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,1286,1286
402,1287,1287,0.0,3.0,3.0,6.0,6.0,6.0,7.0,6.0,1287,1287
403,1288,1288,0.0,3.0,3.0,3.0,4.0,0.0,4.0,0.0,1288,1288
404,1289,1289,0.0,4.0,4.0,4.0,5.0,7.0,6.0,6.0,1289,1289
406,1274,1274,0.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,1274,1274
407,1273,1273,0.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1273,1273
409,1272,1272,0.0,3.0,3.0,5.0,4.0,7.0,7.0,6.0,1272,1272
410,1263,1263,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,1263,1263
412,1257,1257,0.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,1257,1257
413,1258,1258,0.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,1258,1258
414,1259,1259,1.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,1259,1259
415,1260,1260,0.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,1260,1260
416,1261,1261,0.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0,1261,1261
417,1262,1262,0.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1262,1262
421,1264,1264,0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1264,1264
423,1271,1271,1.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1271,1271
424,1265,1265,0.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,1265,1265
427,1266,1266,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,1266,1266
429,1267,1267,0.0,4.0,4.0,6.0,5.0,7.0,7.0,6.0,1267,1267
431,1268,1268,0.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,1268,1268
432,1269,1269,0.0,3.0,3.0,4.0,5.0,6.0,4.0,5.0,1269,1269
433,1270,1270,0.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,1270,1270
434,1290,1290,0.0,3.0,3.0,5.0,6.0,6.0,7.0,7.0,1290,1290
437,1292,1292,0.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,1292,1292
438,1327,1327,0.0,4.0,4.0,5.0,7.0,7.0,6.0,6.0,1327,1327
440,1293,1293,0.0,3.0,3.0,6.0,7.0,7.0,6.0,5.0,1293,1293
441,1312,1312,0.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,1312,1312
442,1313,1313,0.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,1313,1313
443,1314,1314,0.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1314,1314
445,1315,1315,1.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,1315,1315
446,1316,1316,0.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,1316,1316
447,1317,1317,0.0,3.0,3.0,5.0,4.0,7.0,7.0,6.0,1317,1317
448,1318,1318,0.0,3.0,3.0,5.0,6.0,7.0,6.0,6.0,1318,1318
449,1319,1319,0.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1319,1319
454,1320,1320,0.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,1320,1320
457,1321,1321,1.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1321,1321
458,1322,1322,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1322,1322
459,1323,1323,0.0,3.0,3.0,4.0,4.0,6.0,5.0,4.0,1323,1323
461,1324,1324,0.0,4.0,4.0,5.0,6.0,7.0,6.0,6.0,1324,1324
462,1325,1325,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1325,1325
464,1326,1326,0.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,1326,1326
465,1311,1311,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1311,1311
466,1310,1310,0.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1310,1310
467,1309,1309,0.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1309,1309
469,1300,1300,0.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1300,1300
470,1294,1294,0.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1294,1294
471,1295,1295,0.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1295,1295
474,1296,1296,0.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1296,1296
475,1297,1297,0.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,1297,1297
476,1298,1298,0.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1298,1298
477,1299,1299,0.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,1299,1299
478,1301,1301,0.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,1301,1301
479,1308,1308,0.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,1308,1308
481,1302,1302,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1302,1302
482,1303,1303,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1303,1303
483,1304,1304,0.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,1304,1304
484,1305,1305,0.0,4.0,4.0,5.0,6.0,7.0,6.0,7.0,1305,1305
485,1306,1306,0.0,4.0,4.0,6.0,6.0,7.0,7.0,6.0,1306,1306
486,1307,1307,0.0,3.0,3.0,5.0,6.0,7.0,7.0,7.0,1307,1307
487,1256,1256,0.0,4.0,4.0,4.0,6.0,7.0,6.0,7.0,1256,1256
488,1255,1255,0.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,1255,1255
489,1254,1254,0.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,1254,1254
490,1253,1253,0.0,4.0,4.0,5.0,6.0,5.0,4.0,6.0,1253,1253
491,1202,1202,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1202,1202
493,1203,1203,0.0,4.0,4.0,6.0,6.0,7.0,6.0,6.0,1203,1203
494,1204,1204,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,1204,1204
496,1205,1205,0.0,3.0,3.0,6.0,5.0,5.0,5.0,6.0,1205,1205
497,1206,1206,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1206,1206
498,1207,1207,0.0,4.0,4.0,5.0,6.0,4.0,4.0,5.0,1207,1207
499,1209,1209,0.0,4.0,4.0,6.0,7.0,6.0,6.0,7.0,1209,1209
500,1216,1216,0.0,3.0,3.0,4.0,5.0,4.0,4.0,0.0,1216,1216
502,1210,1210,0.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,1210,1210
504,1211,1211,0.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,1211,1211
505,1212,1212,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1212,1212
506,1213,1213,0.0,3.0,3.0,5.0,6.0,6.0,5.0,5.0,1213,1213
508,1214,1214,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1214,1214
509,1215,1215,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1215,1215
510,1201,1201,0.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,1201,1201
511,1208,1208,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1208,1208
512,1200,1200,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1200,1200
513,1190,1190,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1190,1190
515,1184,1184,0.0,3.0,3.0,5.0,5.0,7.0,5.0,6.0,1184,1184
516,1185,1185,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1185,1185
518,1186,1186,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1186,1186
519,1187,1187,0.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,1187,1187
520,1188,1188,0.0,4.0,4.0,7.0,6.0,6.0,6.0,6.0,1188,1188
524,1189,1189,0.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,1189,1189
525,1191,1191,0.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,1191,1191
526,1198,1198,0.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,1198,1198
527,1192,1192,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1192,1192
529,1193,1193,0.0,3.0,3.0,5.0,6.0,6.0,5.0,7.0,1193,1193
530,1194,1194,0.0,3.0,3.0,4.0,6.0,6.0,7.0,6.0,1194,1194
531,1195,1195,0.0,3.0,3.0,4.0,5.0,7.0,7.0,6.0,1195,1195
532,1196,1196,0.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,1196,1196
534,1197,1197,1.0,4.0,4.0,6.0,5.0,7.0,6.0,6.0,1197,1197
535,1199,1199,0.0,4.0,4.0,6.0,6.0,7.0,6.0,6.0,1199,1199
536,1217,1217,0.0,3.0,3.0,6.0,6.0,7.0,6.0,6.0,1217,1217
537,1218,1218,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1218,1218
538,1219,1219,0.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,1219,1219
540,1238,1238,0.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,1238,1238
541,1239,1239,0.0,4.0,4.0,6.0,6.0,7.0,5.0,6.0,1239,1239
542,1240,1240,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1240,1240
543,1241,1241,0.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,1241,1241
544,1242,1242,0.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,1242,1242
545,1243,1243,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1243,1243
546,1244,1244,0.0,3.0,3.0,6.0,5.0,7.0,7.0,7.0,1244,1244
547,1245,1245,0.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1245,1245
548,1246,1246,1.0,4.0,4.0,3.0,4.0,3.0,4.0,6.0,1246,1246
549,1247,1247,0.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,1247,1247
550,1248,1248,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,1248,1248
551,1249,1249,0.0,4.0,4.0,3.0,4.0,4.0,3.0,0.0,1249,1249
552,1250,1250,0.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,1250,1250
553,1251,1251,0.0,3.0,3.0,6.0,6.0,7.0,6.0,7.0,1251,1251
557,1252,1252,0.0,4.0,4.0,6.0,5.0,6.0,6.0,7.0,1252,1252
559,1237,1237,0.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,1237,1237
560,1236,1236,0.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,1236,1236
561,1235,1235,0.0,4.0,4.0,6.0,6.0,7.0,6.0,7.0,1235,1235
562,1226,1226,0.0,3.0,3.0,4.0,6.0,5.0,6.0,6.0,1226,1226
563,1220,1220,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1220,1220
564,1221,1221,0.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,1221,1221
565,1222,1222,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1222,1222
566,1223,1223,0.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,1223,1223
567,1224,1224,0.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,1224,1224
569,1225,1225,0.0,4.0,4.0,5.0,6.0,6.0,4.0,4.0,1225,1225
571,1227,1227,0.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,1227,1227
572,1234,1234,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1234,1234
573,1228,1228,0.0,3.0,3.0,5.0,6.0,7.0,5.0,6.0,1228,1228
574,1229,1229,0.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,1229,1229
575,1230,1230,0.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,1230,1230
576,1231,1231,0.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1231,1231
577,1232,1232,0.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,1232,1232
579,1233,1233,0.0,3.0,3.0,5.0,5.0,7.0,6.0,6.0,1233,1233
581,1291,1291,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1291,1291
582,1328,1328,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1328,1328
583,1329,1329,0.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,1329,1329
584,1330,1330,0.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1330,1330
585,1423,1423,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1423,1423
586,1424,1424,0.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,1424,1424
588,1425,1425,0.0,4.0,4.0,6.0,6.0,7.0,6.0,7.0,1425,1425
589,1426,1426,0.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,1426,1426
590,1427,1427,0.0,3.0,3.0,6.0,6.0,7.0,6.0,7.0,1427,1427
591,1428,1428,0.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,1428,1428
592,1429,1429,0.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,1429,1429
593,1430,1430,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1430,1430
594,1431,1431,0.0,3.0,3.0,5.0,6.0,7.0,6.0,7.0,1431,1431
595,1432,1432,0.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,1432,1432
596,1433,1433,1.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,1433,1433
597,1434,1434,0.0,4.0,4.0,4.0,5.0,7.0,7.0,6.0,1434,1434
598,1435,1435,0.0,4.0,4.0,6.0,6.0,7.0,6.0,6.0,1435,1435
599,1436,1436,0.0,4.0,4.0,6.0,5.0,5.0,4.0,6.0,1436,1436
600,1437,1437,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1437,1437
601,1422,1422,0.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,1422,1422
602,1421,1421,0.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1421,1421
652,1420,1420,0.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1420,1420
653,1411,1411,0.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,1411,1411
654,1405,1405,0.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,1405,1405
656,1406,1406,0.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,1406,1406
657,1407,1407,0.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,1407,1407
658,1408,1408,0.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,1408,1408
659,1409,1409,0.0,3.0,3.0,4.0,4.0,6.0,6.0,7.0,1409,1409
662,1410,1410,0.0,4.0,4.0,5.0,5.0,7.0,7.0,6.0,1410,1410
663,1412,1412,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1412,1412
664,1419,1419,0.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,1419,1419
665,1413,1413,0.0,3.0,3.0,6.0,7.0,7.0,7.0,7.0,1413,1413
666,1414,1414,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1414,1414
669,1415,1415,0.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,1415,1415
670,1416,1416,0.0,4.0,4.0,5.0,6.0,5.0,5.0,7.0,1416,1416
671,1417,1417,0.0,4.0,4.0,5.0,4.0,6.0,6.0,7.0,1417,1417
672,1418,1418,0.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0,1418,1418
676,1438,1438,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,1438,1438
677,1440,1440,0.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,1440,1440
678,1475,1475,0.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,1475,1475
679,1441,1441,0.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,1441,1441
680,1460,1460,0.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1460,1460
681,1461,1461,0.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,1461,1461
682,1462,1462,0.0,3.0,3.0,4.0,5.0,6.0,5.0,7.0,1462,1462
683,1463,1463,0.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,1463,1463
684,1464,1464,1.0,3.0,3.0,4.0,4.0,4.0,5.0,7.0,1464,1464
686,1465,1465,0.0,3.0,3.0,6.0,6.0,6.0,7.0,7.0,1465,1465
689,1466,1466,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1466,1466
690,1467,1467,0.0,3.0,3.0,3.0,4.0,0.0,3.0,5.0,1467,1467
691,1468,1468,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1468,1468
693,1469,1469,0.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,1469,1469
694,1470,1470,1.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,1470,1470
695,1471,1471,0.0,3.0,3.0,4.0,5.0,5.0,6.0,7.0,1471,1471
696,1472,1472,0.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,1472,1472
697,1473,1473,0.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,1473,1473
698,1474,1474,0.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,1474,1474
699,1459,1459,0.0,3.0,3.0,6.0,6.0,5.0,6.0,6.0,1459,1459
701,1458,1458,0.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,1458,1458
702,1457,1457,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1457,1457
703,1448,1448,0.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,1448,1448
704,1442,1442,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1442,1442
706,1443,1443,1.0,3.0,3.0,4.0,3.0,5.0,5.0,6.0,1443,1443
707,1444,1444,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1444,1444
708,1445,1445,0.0,3.0,3.0,4.0,4.0,5.0,6.0,7.0,1445,1445
710,1446,1446,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1446,1446
712,1447,1447,0.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1447,1447
713,1449,1449,1.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1449,1449
714,1456,1456,1.0,3.0,3.0,6.0,6.0,7.0,6.0,7.0,1456,1456
715,1450,1450,0.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,1450,1450
716,1451,1451,0.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,1451,1451
717,1452,1452,0.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,1452,1452
718,1453,1453,0.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,1453,1453
720,1454,1454,0.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,1454,1454
721,1455,1455,0.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1455,1455
722,1404,1404,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1404,1404
723,1439,1439,0.0,3.0,3.0,6.0,5.0,6.0,6.0,7.0,1439,1439
726,1403,1403,0.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,1403,1403
727,1365,1365,0.0,3.0,3.0,4.0,5.0,5.0,6.0,7.0,1365,1365
728,1349,1349,0.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,1349,1349
729,1350,1350,0.0,3.0,3.0,4.0,5.0,3.0,5.0,6.0,1350,1350
730,1351,1351,0.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1351,1351
731,1352,1352,0.0,4.0,4.0,6.0,5.0,7.0,5.0,7.0,1352,1352
732,1353,1353,0.0,4.0,4.0,5.0,5.0,6.0,5.0,7.0,1353,1353
733,1354,1354,0.0,3.0,3.0,5.0,5.0,7.0,7.0,7.0,1354,1354
734,1355,1355,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1355,1355
736,1356,1356,0.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1356,1356
737,1357,1357,0.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1357,1357
738,1358,1358,0.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,1358,1358
739,1359,1359,0.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,1359,1359
740,1360,1360,0.0,4.0,4.0,7.0,6.0,5.0,7.0,7.0,1360,1360
741,1361,1361,0.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,1361,1361
742,1362,1362,0.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,1362,1362
743,1363,1363,0.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1363,1363
744,1348,1348,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1348,1348
745,1347,1347,0.0,3.0,3.0,4.0,5.0,6.0,5.0,4.0,1347,1347
746,1346,1346,0.0,3.0,3.0,5.0,6.0,6.0,6.0,7.0,1346,1346
747,1337,1337,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1337,1337
748,1331,1331,0.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,1331,1331
749,1332,1332,0.0,4.0,4.0,5.0,5.0,5.0,4.0,7.0,1332,1332
751,1333,1333,0.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,1333,1333
752,1334,1334,0.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1334,1334
753,1335,1335,0.0,4.0,4.0,4.0,5.0,3.0,5.0,6.0,1335,1335
754,1336,1336,0.0,3.0,3.0,6.0,6.0,5.0,7.0,7.0,1336,1336
755,1338,1338,0.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,1338,1338
756,1345,1345,0.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,1345,1345
757,1339,1339,0.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1339,1339
759,1340,1340,0.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1340,1340
760,1341,1341,0.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,1341,1341
763,1342,1342,1.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,1342,1342
765,1343,1343,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1343,1343
767,1344,1344,0.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,1344,1344
768,1364,1364,0.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,1364,1364
771,1366,1366,0.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,1366,1366
772,1401,1401,1.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,1401,1401
773,1367,1367,0.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,1367,1367
774,1386,1386,0.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,1386,1386
775,1387,1387,0.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,1387,1387
776,1388,1388,0.0,4.0,4.0,3.0,3.0,2.0,0.0,3.0,1388,1388
777,1389,1389,0.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,1389,1389
778,1390,1390,0.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,1390,1390
779,1391,1391,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1391,1391
780,1392,1392,0.0,3.0,3.0,4.0,5.0,6.0,5.0,6.0,1392,1392
781,1393,1393,0.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,1393,1393
782,1394,1394,0.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,1394,1394
783,1395,1395,0.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,1395,1395
784,1396,1396,0.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,1396,1396
785,1397,1397,0.0,3.0,3.0,5.0,5.0,5.0,6.0,7.0,1397,1397
786,1398,1398,2.0,3.0,3.0,0.0,4.0,3.0,3.0,0.0,1398,1398
787,1399,1399,0.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,1399,1399
788,1400,1400,0.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,1400,1400
790,1385,1385,0.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0,1385,1385
792,1384,1384,0.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,1384,1384
793,1383,1383,0.0,4.0,4.0,6.0,7.0,6.0,7.0,7.0,1383,1383
795,1374,1374,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1374,1374
796,1368,1368,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1368,1368
797,1369,1369,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1369,1369
799,1370,1370,0.0,3.0,3.0,6.0,6.0,7.0,6.0,7.0,1370,1370
802,1371,1371,0.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,1371,1371
803,1372,1372,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1372,1372
806,1373,1373,0.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,1373,1373
807,1375,1375,0.0,4.0,4.0,7.0,6.0,7.0,7.0,7.0,1375,1375
808,1382,1382,0.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1382,1382
809,1376,1376,0.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,1376,1376
810,1377,1377,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1377,1377
811,1378,1378,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1378,1378
812,1379,1379,0.0,3.0,3.0,5.0,5.0,7.0,6.0,6.0,1379,1379
815,1380,1380,0.0,4.0,4.0,7.0,6.0,6.0,7.0,7.0,1380,1380
816,1381,1381,0.0,4.0,4.0,6.0,6.0,7.0,7.0,6.0,1381,1381
818,1624,1624,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1624,1624
819,1772,1772,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1772,1772
820,1773,1773,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1773,1773
821,1774,1774,0.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,1774,1774
822,2163,2163,0.0,3.0,3.0,4.0,6.0,5.0,6.0,7.0,2163,2163
823,2164,2164,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,2164,2164
824,2165,2165,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,2165,2165
825,2166,2166,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,2166,2166
827,2167,2167,0.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,2167,2167
828,2168,2168,0.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,2168,2168
830,2169,2169,0.0,4.0,4.0,6.0,5.0,6.0,7.0,7.0,2169,2169
831,2170,2170,1.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,2170,2170
832,2171,2171,0.0,4.0,4.0,7.0,6.0,7.0,7.0,7.0,2171,2171
833,2172,2172,0.0,3.0,3.0,5.0,5.0,6.0,7.0,6.0,2172,2172
834,2173,2173,0.0,4.0,4.0,6.0,5.0,5.0,6.0,5.0,2173,2173
835,2174,2174,0.0,4.0,4.0,6.0,6.0,6.0,7.0,6.0,2174,2174
836,2175,2175,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,2175,2175
